rank,attack_id,attack_vector,final_score,threat_grade,Public Internet / Edge multiplier,Public Internet / Edge grade,Identity / IAM multiplier,Identity / IAM grade,Cloud Control Plane multiplier,Cloud Control Plane grade,SaaS / Office / Email multiplier,SaaS / Office / Email grade,Network / Perimeter multiplier,Network / Perimeter grade,Server / Workload multiplier,Server / Workload grade,Data / Storage multiplier,Data / Storage grade,Endpoint / User multiplier,Endpoint / User grade,Containers / Kubernetes multiplier,Containers / Kubernetes grade,ESXi / Hypervisor multiplier,ESXi / Hypervisor grade,Mobile multiplier,Mobile grade,ICS / OT multiplier,ICS / OT grade
21,T1571,Non-Standard Port,8.33,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
22,T1102.002,Bidirectional Communication,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
23,T1071.004,DNS,8.33,Critical,1.21,High,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
24,T1567.002,Exfiltration to Cloud Storage,8.33,Critical,1.157,Moderate,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.188,Moderate,1.209,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
25,T1560.003,Archive via Custom Method,8.33,Critical,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
26,T1572,Protocol Tunneling,8.33,Critical,1.21,High,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
27,T1125,Video Capture,8.33,Critical,1.07,Low,1.0,Not Material,1.064,Low,1.056,Low,1.188,Moderate,1.176,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
28,T1090.003,Multi-hop Proxy,8.33,Critical,1.245,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
29,T1090.001,Internal Proxy,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
30,T1529,System Shutdown/Reboot,8.33,Critical,1.087,Low,1.123,Moderate,1.176,Moderate,1.0,Not Material,1.188,Moderate,1.22,High,1.137,Moderate,1.105,Low,1.0,Not Material,1.32,Severe,1.036,Low,1.157,Moderate
31,T1001.003,Protocol or Service Impersonation,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
32,T1561.002,Disk Structure Wipe,8.33,Critical,1.087,Low,1.28,High,1.0,Not Material,1.084,Low,1.188,Moderate,1.22,High,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
33,T1132.002,Non-Standard Encoding,8.33,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
34,T1114.002,Remote Email Collection,8.33,Critical,1.21,High,1.28,High,1.0,Not Material,1.28,High,1.238,High,1.209,Moderate,1.137,Moderate,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
35,T1561.001,Disk Content Wipe,8.33,Critical,1.087,Low,1.28,High,1.0,Not Material,1.084,Low,1.238,High,1.22,High,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
36,T1573,Encrypted Channel,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.137,Moderate,1.135,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
37,T1560.002,Archive via Library,8.33,Critical,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
38,T1185,Browser Session Hijacking,8.33,Critical,1.157,Moderate,1.28,High,1.0,Not Material,1.196,Moderate,1.188,Moderate,1.121,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
39,T1491.001,Internal Defacement,8.33,Critical,1.0,Not Material,1.28,High,1.0,Not Material,1.084,Low,1.0,Not Material,1.22,High,1.175,Moderate,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
40,T1496.001,Compute Hijacking,8.33,Critical,1.157,Moderate,1.0,Not Material,1.32,Severe,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.135,Moderate,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
41,T1074.002,Remote Data Staging,8.33,Critical,1.157,Moderate,1.0,Not Material,1.32,Severe,1.056,Low,1.188,Moderate,1.209,Moderate,1.25,High,1.105,Low,1.022,Low,1.32,Severe,1.0,Not Material,1.0,Not Material
42,T1567,Exfiltration Over Web Service,8.33,Critical,1.245,High,1.157,Moderate,1.272,High,1.28,High,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.304,High,1.0,Not Material,1.0,Not Material
43,T1056,Input Capture,8.33,Critical,1.245,High,1.228,High,1.064,Low,1.056,Low,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
44,T1074,Data Staged,8.33,Critical,1.087,Low,1.0,Not Material,1.32,Severe,1.056,Low,1.075,Low,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.32,Severe,1.0,Not Material,1.0,Not Material
45,T1048,Exfiltration Over Alternative Protocol,8.33,Critical,1.298,High,1.157,Moderate,1.32,Severe,1.224,High,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.304,High,1.036,Low,1.113,Moderate
46,T1132,Data Encoding,8.33,Critical,1.07,Low,1.28,High,1.0,Not Material,1.084,Low,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
47,T1213.006,Databases,8.33,Critical,1.157,Moderate,1.28,High,1.32,Severe,1.266,High,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
48,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,8.33,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.113,Moderate
49,T1665,Hide Infrastructure,8.33,Critical,1.298,High,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
50,T1537,Transfer Data to Cloud Account,8.33,Critical,1.157,Moderate,1.28,High,1.32,Severe,1.28,High,1.188,Moderate,1.121,Moderate,1.25,High,1.067,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
51,T1499,Endpoint Denial of Service,8.33,Critical,1.298,High,1.0,Not Material,1.32,Severe,1.182,Moderate,1.238,High,1.22,High,1.225,High,1.135,Moderate,1.22,High,1.0,Not Material,1.036,Low,1.0,Not Material
52,T1213,Data from Information Repositories,8.33,Critical,1.157,Moderate,1.28,High,1.32,Severe,1.28,High,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
53,T1567.001,Exfiltration to Code Repository,8.33,Critical,1.07,Low,1.0,Not Material,1.064,Low,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
54,T1491.002,External Defacement,8.33,Critical,1.245,High,1.157,Moderate,1.32,Severe,1.0,Not Material,1.188,Moderate,1.165,Moderate,1.25,High,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
55,T1567.004,Exfiltration Over Webhook,8.33,Critical,1.157,Moderate,1.157,Moderate,1.272,High,1.28,High,1.238,High,1.176,Moderate,1.25,High,1.105,Low,1.022,Low,1.304,High,1.0,Not Material,1.0,Not Material
56,T1499.004,Application or System Exploitation,8.33,Critical,1.21,High,1.0,Not Material,1.32,Severe,1.084,Low,1.188,Moderate,1.22,High,1.175,Moderate,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
57,T1011.001,Exfiltration Over Bluetooth,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
58,T1567.003,Exfiltration to Text Storage Sites,8.33,Critical,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
59,T1561,Disk Wipe,8.33,Critical,1.087,Low,1.28,High,1.0,Not Material,1.084,Low,1.238,High,1.22,High,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
60,T1499.003,Application Exhaustion Flood,8.33,Critical,1.245,High,1.0,Not Material,1.32,Severe,1.084,Low,1.188,Moderate,1.22,High,1.087,Low,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
61,T1499.002,Service Exhaustion Flood,8.33,Critical,1.298,High,1.0,Not Material,1.272,High,1.084,Low,1.238,High,1.22,High,1.175,Moderate,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
62,T1498.002,Reflection Amplification,8.33,Critical,1.21,High,1.0,Not Material,1.272,High,1.0,Not Material,1.238,High,1.22,High,1.087,Low,1.105,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
63,T1496,Resource Hijacking,8.33,Critical,1.157,Moderate,1.157,Moderate,1.32,Severe,1.21,High,1.188,Moderate,1.22,High,1.087,Low,1.105,Low,1.22,High,1.0,Not Material,1.024,Low,1.0,Not Material
64,T1491,Defacement,8.33,Critical,1.157,Moderate,1.0,Not Material,1.32,Severe,1.084,Low,1.188,Moderate,1.165,Moderate,1.25,High,1.105,Low,1.022,Low,1.304,High,1.0,Not Material,1.0,Not Material
65,T1052,Exfiltration Over Physical Medium,8.33,Critical,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
66,T1011,Exfiltration Over Other Network Medium,8.33,Critical,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
67,T1036.005,Match Legitimate Resource Name or Location,7.5,Medium High,1.0,Not Material,1.0,Not Material,1.272,High,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.137,Moderate,1.15,Moderate,1.22,High,1.304,High,1.0,Not Material,1.0,Not Material
68,T1053.005,Scheduled Task,7.5,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.0,Not Material,1.075,Low,1.22,High,1.175,Moderate,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
69,T1027,Obfuscated Files or Information,7.5,Medium High,1.157,Moderate,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.238,High,1.176,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
70,T1685,Disable or Modify Tools,7.5,Medium High,1.087,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.188,Moderate,1.176,Moderate,1.05,Low,1.135,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
71,T1574.001,DLL,7.5,Medium High,1.087,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.05,Low,1.198,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
72,T1003.001,LSASS Memory,7.5,Medium High,1.0,Not Material,1.35,Severe,1.064,Low,1.14,Moderate,1.125,Moderate,1.209,Moderate,1.175,Moderate,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
73,T1548.002,Bypass User Account Control,7.5,Medium High,1.0,Not Material,1.35,Severe,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.198,Moderate,1.0,Not Material,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
74,T1505.003,Web Shell,7.5,Medium High,1.245,High,1.35,Severe,1.0,Not Material,1.0,Not Material,1.188,Moderate,1.22,High,1.087,Low,1.15,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
75,T1036,Masquerading,7.5,Medium High,1.0,Not Material,1.0,Not Material,1.272,High,1.0,Not Material,1.0,Not Material,1.176,Moderate,1.225,High,1.135,Moderate,1.22,High,1.304,High,1.0,Not Material,1.0,Not Material
76,T1480,Execution Guardrails,7.5,Medium High,1.123,Moderate,1.28,High,1.0,Not Material,1.084,Low,1.188,Moderate,1.209,Moderate,1.225,High,1.15,Moderate,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
77,T1068,Exploitation for Privilege Escalation,7.5,Medium High,1.052,Low,1.263,High,1.272,High,1.0,Not Material,1.0,Not Material,1.22,High,1.05,Low,1.135,Moderate,1.22,High,1.048,Low,1.0,Not Material,1.0,Not Material
78,T1552.001,Credentials In Files,7.5,Medium High,1.157,Moderate,1.35,Severe,1.272,High,1.056,Low,1.188,Moderate,1.209,Moderate,1.225,High,1.105,Low,1.22,High,1.048,Low,1.0,Not Material,1.0,Not Material
79,T1133,External Remote Services,7.5,Medium High,1.35,Severe,1.35,Severe,1.32,Severe,1.14,Moderate,1.238,High,1.198,Moderate,1.05,Low,1.097,Low,1.22,High,1.0,Not Material,1.0,Not Material,1.0,Not Material
80,T1136.001,Local Account,7.5,Medium High,1.14,Moderate,1.35,Severe,1.272,High,1.084,Low,1.238,High,1.22,High,1.087,Low,1.135,Moderate,1.22,High,1.304,High,1.036,Low,1.0,Not Material
81,T1539,Steal Web Session Cookie,7.5,Medium High,1.298,High,1.35,Severe,1.272,High,1.28,High,1.125,Moderate,1.209,Moderate,1.175,Moderate,1.135,Moderate,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
82,T1040,Network Sniffing,7.5,Medium High,1.157,Moderate,1.35,Severe,1.32,Severe,1.196,Moderate,1.238,High,1.176,Moderate,1.137,Moderate,1.105,Low,1.022,Low,1.048,Low,1.036,Low,1.0,Not Material
83,T1210,Exploitation of Remote Services,7.5,Medium High,1.21,High,1.0,Not Material,1.0,Not Material,1.084,Low,1.25,High,1.209,Moderate,1.087,Low,1.105,Low,1.0,Not Material,1.32,Severe,1.0,Not Material,1.0,Not Material
84,T1078.002,Domain Accounts,7.5,Medium High,1.21,High,1.35,Severe,1.0,Not Material,1.14,Moderate,1.188,Moderate,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
85,T1021.004,SSH,7.5,Medium High,1.07,Low,1.28,High,1.0,Not Material,1.0,Not Material,1.25,High,1.209,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
86,T1123,Audio Capture,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.064,Low,1.056,Low,1.0,Not Material,1.176,Moderate,1.25,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
87,T1071.002,File Transfer Protocols,6.94,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.137,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
88,T1568.002,Domain Generation Algorithms,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.113,Moderate
89,T1025,Data from Removable Media,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.0,Not Material,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
90,T1090.002,External Proxy,6.94,Medium High,1.245,High,1.0,Not Material,1.112,Moderate,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.113,Moderate
91,T1114.001,Local Email Collection,6.94,Medium High,1.07,Low,1.123,Moderate,1.0,Not Material,1.154,Moderate,1.238,High,1.121,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
92,T1568,Dynamic Resolution,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.135,Moderate,1.0,Not Material,1.304,High,1.0,Not Material,1.113,Moderate
93,T1001.001,Junk Data,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
94,T1071,Application Layer Protocol,6.94,Medium High,1.298,High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.05,Low,1.105,Low,1.0,Not Material,1.304,High,1.036,Low,1.0,Not Material
95,T1056.002,GUI Input Capture,6.94,Medium High,1.0,Not Material,1.228,High,1.0,Not Material,1.21,High,1.0,Not Material,1.176,Moderate,1.225,High,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
96,T1104,Multi-Stage Channels,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.137,Moderate,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.113,Moderate
97,T1001,Data Obfuscation,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
98,T1056.004,Credential API Hooking,6.94,Medium High,1.0,Not Material,1.228,High,1.064,Low,1.056,Low,1.05,Low,1.176,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
99,T1039,Data from Network Shared Drive,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.056,Low,1.075,Low,1.209,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
100,T1001.002,Steganography,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.225,High,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
101,T1530,Data from Cloud Storage,6.94,Medium High,1.157,Moderate,1.28,High,1.32,Severe,1.28,High,1.188,Moderate,1.121,Moderate,1.25,High,1.067,Low,1.022,Low,1.0,Not Material,1.036,Low,1.0,Not Material
102,T1213.002,Sharepoint,6.94,Medium High,1.157,Moderate,1.28,High,1.224,High,1.28,High,1.075,Low,1.121,Moderate,1.087,Low,1.045,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
103,T1102.003,One-Way Communication,6.94,Medium High,1.157,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.087,Low,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
104,T1557.001,Name Resolution Poisoning and SMB Relay,6.94,Medium High,1.123,Moderate,1.298,High,1.0,Not Material,1.056,Low,1.238,High,1.176,Moderate,1.087,Low,1.135,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
105,T1052.001,Exfiltration over USB,6.94,Medium High,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.075,Low,1.121,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.036,Low,1.0,Not Material
106,T1568.001,Fast Flux DNS,6.94,Medium High,1.123,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
107,T1531,Account Access Removal,6.94,Medium High,1.087,Low,1.28,High,1.272,High,1.28,High,1.075,Low,1.22,High,1.175,Moderate,1.105,Low,1.022,Low,1.304,High,1.0,Not Material,1.0,Not Material
108,T1213.003,Code Repositories,6.94,Medium High,1.298,High,1.28,High,1.32,Severe,1.266,High,1.075,Low,1.088,Low,1.087,Low,1.022,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
109,T1565.002,Transmitted Data Manipulation,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.238,High,1.165,Moderate,1.25,High,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
110,T1090.004,Domain Fronting,6.94,Medium High,1.07,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.25,High,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.304,High,1.0,Not Material,1.0,Not Material
111,T1213.005,Messaging Applications,6.94,Medium High,1.157,Moderate,1.28,High,1.272,High,1.28,High,1.075,Low,1.0,Not Material,1.175,Moderate,1.045,Low,1.022,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
