rank,attack_id,attack_vector,final_score,threat_grade,max_edge_case,max_edge_case_multiplier,edge_case_flags,Zero-Day / Unknown Exploit multiplier,Zero-Day / Unknown Exploit grade,Exploit Chain / Multi-Step multiplier,Exploit Chain / Multi-Step grade,Telemetry Gap / Evasion multiplier,Telemetry Gap / Evasion grade,Identity / MFA Bypass multiplier,Identity / MFA Bypass grade,Supply Chain / Trusted Dependency multiplier,Supply Chain / Trusted Dependency grade,Destructive / Ransomware multiplier,Destructive / Ransomware grade,Cloud / SaaS Tenant Blast Radius multiplier,Cloud / SaaS Tenant Blast Radius grade,Living-off-the-Land multiplier,Living-off-the-Land grade,AI-Scaled Social Engineering multiplier,AI-Scaled Social Engineering grade,Insider / Trusted Access multiplier,Insider / Trusted Access grade,Air-Gapped / ICS Safety multiplier,Air-Gapped / ICS Safety grade,Rare but High Impact multiplier,Rare but High Impact grade
11,T1560,Archive Collected Data,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.088,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.052,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
12,T1490,Inhibit System Recovery,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,1.121,Moderate,1.022,Low,1.124,Moderate,1.0,Not Material,1.054,Low,1.22,High,1.18,Moderate,1.142,Moderate,1.0,Not Material,1.035,Low,1.07,Low,1.04,Low
13,T1489,Service Stop,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Insider / Trusted Access; Living-off-the-Land; Exploit Chain / Multi-Step,1.121,Moderate,1.067,Low,1.124,Moderate,1.14,Moderate,1.0,Not Material,1.22,High,1.18,Moderate,1.09,Low,1.0,Not Material,1.091,Low,1.0,Not Material,1.04,Low
14,T1485,Data Destruction,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Telemetry Gap / Evasion,1.121,Moderate,1.094,Low,1.061,Low,1.08,Low,1.054,Low,1.22,High,1.18,Moderate,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
15,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,1.121,Moderate,1.022,Low,1.124,Moderate,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.09,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
16,T1657,Financial Theft,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,1.198,Moderate,1.067,Low,1.061,Low,1.14,Moderate,1.0,Not Material,1.22,High,1.18,Moderate,1.052,Low,1.054,Low,1.091,Low,1.0,Not Material,1.04,Low
17,T1071.001,Web Protocols,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit,1.121,Moderate,1.022,Low,1.029,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
18,T1005,Data from Local System,10,Critical,Destructive / Ransomware,1.121,Destructive / Ransomware; Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.088,Low,1.094,Low,1.034,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
19,T1041,Exfiltration Over C2 Channel,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware,1.121,Moderate,1.022,Low,1.029,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
20,T1113,Screen Capture,10,Critical,Living-off-the-Land,1.09,Living-off-the-Land; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.059,Low,1.0,Not Material,1.0,Not Material,1.055,Low,1.0,Not Material,1.09,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
21,T1571,Non-Standard Port,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Living-off-the-Land,1.121,Moderate,1.022,Low,1.029,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
22,T1102.002,Bidirectional Communication,10,Critical,Telemetry Gap / Evasion,1.149,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land,1.121,Moderate,1.022,Low,1.149,Moderate,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
23,T1071.004,DNS,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion,1.121,Moderate,1.022,Low,1.086,Low,1.04,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.09,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
24,T1567.002,Exfiltration to Cloud Storage,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.063,Low,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
25,T1560.003,Archive via Custom Method,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.029,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.052,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
26,T1572,Protocol Tunneling,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware; Telemetry Gap / Evasion,1.121,Moderate,1.049,Low,1.065,Low,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.054,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
27,T1125,Video Capture,10,Critical,Zero-Day / Unknown Exploit,1.088,Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.025,Low,1.0,Not Material,1.054,Low,1.055,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.04,Low
28,T1090.003,Multi-hop Proxy,10,Critical,Telemetry Gap / Evasion,1.128,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Destructive / Ransomware; Exploit Chain / Multi-Step; Air-Gapped / ICS Safety,1.121,Moderate,1.094,Low,1.128,Moderate,1.0,Not Material,1.054,Low,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.07,Low,1.0,Not Material
29,T1090.001,Internal Proxy,10,Critical,Zero-Day / Unknown Exploit,1.088,Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.049,Low,1.061,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
30,T1529,System Shutdown/Reboot,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety; Living-off-the-Land; Identity / MFA Bypass; Telemetry Gap / Evasion; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius,1.121,Moderate,1.067,Low,1.076,Low,1.08,Low,1.0,Not Material,1.22,High,1.063,Low,1.09,Low,1.0,Not Material,1.035,Low,1.112,Moderate,1.04,Low
31,T1001.003,Protocol or Service Impersonation,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Telemetry Gap / Evasion,1.121,Moderate,1.022,Low,1.086,Low,1.0,Not Material,1.054,Low,1.099,Low,1.0,Not Material,1.09,Low,1.054,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material
32,T1561.002,Disk Structure Wipe,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Identity / MFA Bypass; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion,1.121,Moderate,1.094,Low,1.061,Low,1.14,Moderate,1.0,Not Material,1.22,High,1.063,Low,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
33,T1132.002,Non-Standard Encoding,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
34,T1114.002,Remote Email Collection,10,Critical,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit,1.088,Low,1.13,Moderate,1.025,Low,1.18,Moderate,1.0,Not Material,1.055,Low,1.117,Moderate,1.052,Low,1.0,Not Material,1.14,Moderate,1.0,Not Material,1.04,Low
35,T1561.001,Disk Content Wipe,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Identity / MFA Bypass; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Cloud / SaaS Tenant Blast Radius,1.121,Moderate,1.094,Low,1.025,Low,1.14,Moderate,1.054,Low,1.22,High,1.063,Low,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
36,T1573,Encrypted Channel,10,Critical,Zero-Day / Unknown Exploit,1.121,Zero-Day / Unknown Exploit; Destructive / Ransomware; Telemetry Gap / Evasion,1.121,Moderate,1.022,Low,1.061,Low,1.0,Not Material,1.0,Not Material,1.099,Low,1.0,Not Material,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
37,T1560.002,Archive via Library,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Living-off-the-Land; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
38,T1185,Browser Session Hijacking,10,Critical,Identity / MFA Bypass,1.18,Identity / MFA Bypass; Exploit Chain / Multi-Step; Insider / Trusted Access; Living-off-the-Land; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Telemetry Gap / Evasion,1.088,Low,1.13,Moderate,1.061,Low,1.18,Moderate,1.054,Low,1.055,Low,1.063,Low,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
39,T1491.001,Internal Defacement,10,Critical,Destructive / Ransomware,1.165,Destructive / Ransomware; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass,1.121,Moderate,1.022,Low,1.025,Low,1.06,Low,1.054,Low,1.165,Moderate,1.063,Low,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
40,T1496.001,Compute Hijacking,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
41,T1074.002,Remote Data Staging,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Insider / Trusted Access,1.121,Moderate,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.18,Moderate,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
42,T1567,Exfiltration Over Web Service,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion; Identity / MFA Bypass,1.121,Moderate,1.022,Low,1.061,Low,1.06,Low,1.0,Not Material,1.22,High,1.18,Moderate,1.09,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
43,T1056,Input Capture,10,Critical,Exploit Chain / Multi-Step,1.169,Exploit Chain / Multi-Step; Identity / MFA Bypass; Insider / Trusted Access; Zero-Day / Unknown Exploit; Rare but High Impact,1.088,Low,1.169,Moderate,1.025,Low,1.15,Moderate,1.0,Not Material,1.055,Low,1.0,Not Material,1.052,Low,1.054,Low,1.105,Low,1.0,Not Material,1.08,Low
44,T1074,Data Staged,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Living-off-the-Land; Zero-Day / Unknown Exploit; Insider / Trusted Access,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.18,Moderate,1.105,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
45,T1048,Exfiltration Over Alternative Protocol,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Identity / MFA Bypass,1.088,Low,1.022,Low,1.088,Low,1.06,Low,1.0,Not Material,1.22,High,1.18,Moderate,1.09,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
46,T1132,Data Encoding,10,Critical,Zero-Day / Unknown Exploit,1.088,Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass,1.088,Low,1.022,Low,1.025,Low,1.06,Low,1.0,Not Material,1.0,Not Material,1.063,Low,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
47,T1213.006,Databases,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step,1.088,Low,1.067,Low,1.025,Low,1.14,Moderate,1.0,Not Material,1.121,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
48,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.022,Low,1.061,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
49,T1665,Hide Infrastructure,10,Critical,Telemetry Gap / Evasion,1.124,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.049,Low,1.124,Moderate,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.063,Low,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.0,Not Material
50,T1537,Transfer Data to Cloud Account,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access; Identity / MFA Bypass,1.088,Low,1.022,Low,1.025,Low,1.06,Low,1.0,Not Material,1.121,Moderate,1.18,Moderate,1.038,Low,1.0,Not Material,1.07,Low,1.0,Not Material,1.0,Not Material
51,T1499,Endpoint Denial of Service,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land; Telemetry Gap / Evasion,1.165,Moderate,1.058,Low,1.061,Low,1.0,Not Material,1.054,Low,1.165,Moderate,1.18,Moderate,1.09,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
52,T1213,Data from Information Repositories,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion,1.088,Low,1.103,Low,1.088,Low,1.14,Moderate,1.054,Low,1.055,Low,1.18,Moderate,1.09,Low,1.0,Not Material,1.105,Low,1.0,Not Material,1.0,Not Material
53,T1567.001,Exfiltration to Code Repository,10,Critical,Destructive / Ransomware,1.121,Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.121,Moderate,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
54,T1491.002,External Defacement,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Destructive / Ransomware; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step,1.165,Moderate,1.067,Low,1.025,Low,1.14,Moderate,1.0,Not Material,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.091,Low,1.0,Not Material,1.04,Low
55,T1567.004,Exfiltration Over Webhook,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Supply Chain / Trusted Dependency; Destructive / Ransomware; Living-off-the-Land; Zero-Day / Unknown Exploit; Identity / MFA Bypass,1.088,Low,1.022,Low,1.025,Low,1.06,Low,1.135,Moderate,1.121,Moderate,1.18,Moderate,1.09,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
56,T1499.004,Application or System Exploitation,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,1.165,Moderate,1.058,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.07,Low,1.04,Low
57,T1011.001,Exfiltration Over Bluetooth,10,Critical,Destructive / Ransomware,1.121,Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
58,T1567.003,Exfiltration to Text Storage Sites,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.22,High,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
59,T1561,Disk Wipe,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Living-off-the-Land; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius,1.088,Low,1.094,Low,1.025,Low,1.14,Moderate,1.0,Not Material,1.22,High,1.063,Low,1.09,Low,1.0,Not Material,1.126,Moderate,1.0,Not Material,1.04,Low
60,T1499.003,Application Exhaustion Flood,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
61,T1499.002,Service Exhaustion Flood,10,Critical,Destructive / Ransomware,1.22,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Zero-Day / Unknown Exploit,1.088,Low,1.058,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.22,High,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
62,T1498.002,Reflection Amplification,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
63,T1496,Resource Hijacking,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Identity / MFA Bypass,1.088,Low,1.049,Low,1.061,Low,1.06,Low,1.0,Not Material,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.0,Not Material,1.0,Not Material,1.04,Low
64,T1491,Defacement,10,Critical,Cloud / SaaS Tenant Blast Radius,1.18,Cloud / SaaS Tenant Blast Radius; Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.054,Low,1.165,Moderate,1.18,Moderate,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.04,Low
65,T1052,Exfiltration Over Physical Medium,10,Critical,Destructive / Ransomware,1.121,Destructive / Ransomware; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.07,Low,1.04,Low
66,T1011,Exfiltration Over Other Network Medium,10,Critical,Destructive / Ransomware,1.121,Destructive / Ransomware; Zero-Day / Unknown Exploit,1.088,Low,1.022,Low,1.025,Low,1.0,Not Material,1.0,Not Material,1.121,Moderate,1.0,Not Material,1.052,Low,1.0,Not Material,1.035,Low,1.0,Not Material,1.0,Not Material
