rank,attack_id,attack_vector,is_subtechnique,parent_id,domains,platforms,tactics,severity_label,groups_count,software_count,total_usage,impact_score,asset_criticality,asset_criticality_reason,exploit_likelihood,exploit_likelihood_reason,detection_confidence,confident_score,bft_vote_proxy,raw_product_score,score_0_10,max_surface,max_surface_multiplier,surface_multiplier_grade,max_edge_case,max_edge_case_multiplier,edge_case_multiplier_grade,edge_case_flags,final_score,threat_grade,recommended_action,auto_containment_allowed,primary_surfaces,related_capec_count,related_capec_ids,related_cwe_count,related_cwe_ids,data_sources,mitigation_ids,mitigations,description
11,T1560,Archive Collected Data,False,,enterprise,Linux; macOS; Windows,Collection,Critical,13,43,56,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Data / Storage,1.25,High,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Zero-Day / Unknown Exploit; Telemetry Gap / Evasion; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,0,,0,,Command; Process; File; Module,M1047,Audit,"An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender. Both compression and encryption are done prior to exfiltration, and can be performed using a utility, 3rd party library, or custom method."
12,T1490,Inhibit System Recovery,False,,enterprise; cloud,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,Impact,Critical,7,48,55,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Cloud Control Plane,1.32,Severe,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Living-off-the-Land; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Air-Gapped / ICS Safety,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; ESXi / Hypervisor; Data / Storage; Network / Perimeter; Server / Workload,0,,0,,Command; Process; Windows Registry; Service; File; Snapshot; Cloud Storage,M1038; M1028; M1018; M1053,Execution Prevention; Operating System Configuration; User Account Management; Data Backup,"Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery. This may deny access to available backups and recovery options. Operating systems may contain features that can help fix corrupted systems, such as a backup catalog, volume shadow copies, and automatic repair features. Adversaries may disable or delete system recovery features to augment the effects of Data Destruction and Data Encrypted for Impact. Fur..."
13,T1489,Service Stop,False,,enterprise; cloud,ESXi; IaaS; Linux; macOS; Windows,Impact,Critical,7,47,54,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Cloud Control Plane,1.32,Severe,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Insider / Trusted Access; Living-off-the-Land; Exploit Chain / Multi-Step,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; ESXi / Hypervisor; Identity / IAM; Data / Storage; Server / Workload,0,,0,,Process; Service; File; Logon Session,M1030; M1018; M1060; M1024; M1022,Network Segmentation; User Account Management; Out-of-Band Communications Channel; Restrict Registry Permissions; Restrict File and Directory Permissions,"Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment. Adversaries may accomplish this by disabling individual services of high importance to an organization, such as <code>MSExchangeIS</code>, which will make Exchange content inaccessible. In some cases, adversaries may stop o..."
14,T1485,Data Destruction,False,,enterprise; cloud,Containers; ESXi; IaaS; Linux; macOS; Windows,Impact,Critical,6,28,34,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Cloud Control Plane,1.32,Severe,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius; Insider / Trusted Access; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step; Living-off-the-Land; Identity / MFA Bypass; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Cloud Control Plane; ESXi / Hypervisor; Data / Storage; Server / Workload; Containers / Kubernetes,0,,0,,Command; Process; File; Volume; Cloud Storage,M1032; M1053; M1018,Multi-factor Authentication; Data Backup; User Account Management,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives. Common operating system file deletion commands such as <code>del</code> and <code>rm</code> often only remove pointers to files without wiping the contents of the files themselves, making..."
15,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True,T1048,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Exfiltration,Critical,11,22,33,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,ESXi / Hypervisor,1.304,High,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Living-off-the-Land,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Data / Storage; Network / Perimeter; Public Internet / Edge; Server / Workload,0,,0,,Command; Network Traffic; Process; File,M1031; M1057; M1037; M1030,Network Intrusion Prevention; Data Loss Prevention; Filter Network Traffic; Network Segmentation,"Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. Adversaries may opt to obfuscate this data, without the use of encryption, within network protocols that are natively unencrypted (such as HTTP, FTP, or DNS). This may include custom or publicly available encoding/compression algorithms (such as base64)..."
16,T1657,Financial Theft,False,,enterprise; cloud,Linux; macOS; Office Suite; SaaS; Windows,Impact,Critical,15,7,22,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.2,10,3/3 agents agree proxy,21.6,10,Identity / IAM,1.28,High,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Zero-Day / Unknown Exploit; Cloud / SaaS Tenant Blast Radius; Identity / MFA Bypass; Insider / Trusted Access; Exploit Chain / Multi-Step; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Identity / IAM; SaaS / Office / Email; Cloud Control Plane; Data / Storage; Server / Workload,0,,0,,Command; Process; File; Logon Session; Application Log,M1017; M1018,User Training; User Account Management,"Adversaries may steal monetary resources from targets through extortion, social engineering, technical theft, or other methods aimed at their own financial gain at the expense of the availability of these resources for victims. Financial theft is the ultimate objective of several popular campaign types including extortion by ransomware, business email compromise (BEC) and fraud, ""pig butchering,"" bank hacking, and exploiting cryptocurrency networks. Adversaries may Compromise Accounts to conduc..."
17,T1071.001,Web Protocols,True,T1071,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,57,341,398,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Public Internet / Edge; Server / Workload; Endpoint / User,0,,0,,Command; Network Traffic; Process,M1031; M1037,Network Intrusion Prevention; Filter Network Traffic,"Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. Protocols such as HTTP/S and WebSocket that carry web traffic may be very common in environments. HTTP/S packets have many fields and headers in which data can be concealed. An adversary..."
18,T1005,Data from Local System,False,,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Collection,Critical,45,169,214,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.32,Severe,Destructive / Ransomware,1.121,Moderate,Destructive / Ransomware; Living-off-the-Land; Exploit Chain / Multi-Step; Zero-Day / Unknown Exploit; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Data / Storage; Network / Perimeter; Server / Workload; Endpoint / User,4,CAPEC-204; CAPEC-37; CAPEC-545; CAPEC-647,10,CWE-1239; CWE-1243; CWE-1258; CWE-1266; CWE-1272; CWE-1278; CWE-1301; CWE-1323; CWE-1330; CWE-226,Command; Process; File,M1057,Data Loss Prevention,"Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration. Adversaries may do this using a Command and Scripting Interpreter, such as cmd as well as a Network Device CLI, which have functionality to interact with the file system to gather information. Adversaries may also use Automated Collection on the local system."
19,T1041,Exfiltration Over C2 Channel,False,,enterprise,ESXi; Linux; macOS; Windows,Exfiltration,Critical,27,164,191,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Data / Storage; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Network Traffic; Process; File,M1031; M1057,Network Intrusion Prevention; Data Loss Prevention,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.
20,T1113,Screen Capture,False,,enterprise,Linux; macOS; Windows,Collection,Critical,19,151,170,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,Data / Storage,1.225,High,Living-off-the-Land,1.09,Low,Living-off-the-Land; Zero-Day / Unknown Exploit; Exploit Chain / Multi-Step,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,1,CAPEC-648,1,CWE-267,Process; Module,,,"Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native utilities or API calls, such as <code>CopyFromScreen</code>, <code>xwd</code>, or <code>screencapture</code>."
21,T1571,Non-Standard Port,False,,enterprise,ESXi; Linux; macOS; Windows,Command and Control,Critical,17,41,58,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Living-off-the-Land,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Endpoint / User,0,,0,,Network Traffic; Process; Application Log,M1030; M1031,Network Segmentation; Network Intrusion Prevention,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088 or port 587 as opposed to the traditional port 443. Adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis/parsing of network data. Adversaries may also make changes to victim systems to abuse non-standard ports. For example, Registry keys and other configuration settings can be used to modify protocol and port pa..."
22,T1102.002,Bidirectional Communication,True,T1102,enterprise,ESXi; Linux; macOS; Windows,Command and Control,Critical,16,38,54,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Telemetry Gap / Evasion,1.149,Moderate,Telemetry Gap / Evasion; Zero-Day / Unknown Exploit; Destructive / Ransomware; Living-off-the-Land,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Endpoint / User,0,,0,,Process; Network Traffic,M1021; M1031,Restrict Web-Based Content; Network Intrusion Prevention,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those infected systems can then send the output from those commands back over that Web service channel. The return traffic may occur in a variety of ways, depending on the Web service being utilized. For exam..."
23,T1071.004,DNS,True,T1071,enterprise,ESXi; Linux; macOS; Network Devices; Windows,Command and Control,Critical,11,43,54,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Living-off-the-Land; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Identity / IAM,0,,0,,Network Traffic; Process,M1037; M1031,Filter Network Traffic; Network Intrusion Prevention,"Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. The DNS protocol serves an administrative function in computer networking and thus may be very common in environments. DNS traffic may also be allowed even before network authentication..."
24,T1567.002,Exfiltration to Cloud Storage,True,T1567,enterprise,ESXi; Linux; macOS; Windows,Exfiltration,Critical,25,16,41,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.2,10,3/3 agents agree proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware; Cloud / SaaS Tenant Blast Radius,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Data / Storage; Server / Workload; Network / Perimeter; Public Internet / Edge,0,,0,,Command; Network Traffic; Process; File,M1021,Restrict Web-Based Content,"Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel. Cloud storage services allow for the storage, edit, and retrieval of data from a remote cloud storage server over the Internet. Examples of cloud storage services include Dropbox and Google Docs. Exfiltration to these cloud storage services can provide a significant amount of cover to the adversary if hosts within the network are already communicating with the service."
25,T1560.003,Archive via Custom Method,True,T1560,enterprise,Linux; macOS; Windows,Collection,Critical,7,31,38,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,Data / Storage,1.25,High,Destructive / Ransomware,1.22,High,Destructive / Ransomware; Zero-Day / Unknown Exploit; Insider / Trusted Access,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Server / Workload; Endpoint / User,0,,0,,Process; Command; File,,,"An adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. Adversaries may choose to use custom archival methods, such as encryption with XOR or stream ciphers implemented with no external library or utility references. Custom implementations of well-known compression algorithms have also been used."
26,T1572,Protocol Tunneling,False,,enterprise,ESXi; Linux; macOS; Windows,Command and Control,Critical,15,21,36,4,3,critical surface or platform proxy,1.5,"high observed usage, high-likelihood CAPEC, or strong exploit evidence proxy",1.0,8,2/3 agents agree with correlated evidence proxy,18.0,10,ESXi / Hypervisor,1.304,High,Zero-Day / Unknown Exploit,1.121,Moderate,Zero-Day / Unknown Exploit; Destructive / Ransomware; Telemetry Gap / Evasion,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,ESXi / Hypervisor; Network / Perimeter; Server / Workload; Public Internet / Edge; Endpoint / User,0,,0,,Network Traffic; Process; Application Log,M1037; M1031,Filter Network Traffic; Network Intrusion Prevention,Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious traffic by blending in with existing traffic and/or provide an outer layer of encryption (similar to a VPN). Tunneling could also enable routing of network packets that would otherwise not reach thei...
27,T1125,Video Capture,False,,enterprise,Linux; macOS; Windows,Collection,Critical,4,31,35,4,3,critical surface or platform proxy,1.25,"repeatable technique, bypass/chaining pattern, or elevated public usage proxy",1.2,10,3/3 agents agree proxy,18.0,10,Data / Storage,1.25,High,Zero-Day / Unknown Exploit,1.088,Low,Zero-Day / Unknown Exploit; Insider / Trusted Access; Exploit Chain / Multi-Step,10,Critical,Auto-intercept / quarantine via pre-approved playbook,True,Data / Storage; Network / Perimeter; Server / Workload; Endpoint / User,1,CAPEC-634,1,CWE-267,Command; Network Traffic; Process; Module; File,,,"An adversary can leverage a computer's peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the purpose of gathering information. Images may also be captured from devices or applications, potentially in specified intervals, in lieu of video files. Malware or scripts may be used to interact with the devices through an available API provided by the operating system or an application to capture video or images. Video o..."
